Node,Mapping,Goldlabel,Predict,L1 confidence,L2confidence
N344,gAti->gatI,-,L2,0.05,0.056
N345,gAti->gat,-,L2,0.05,0.056
N346,upaSAnti->upaSAnta,-,L2,0.051000000000000004,0.057
N347,udBUti->udBUta,-,L2,0.05,0.057
N340,sAhi->sAh,-,L2,0.04,0.042
N341,gAti->gata,-,L2,0.05,0.061
N342,gAti->gAtA,-,L1,0.034,0.03
N343,gAti->gati,-,L2,0.05,0.056
N348,avyApti->avyApta,-,L2,0.05,0.056
N349,ekaviMSati->ekaviMSat,-,L2,0.051000000000000004,0.056
N1653,spfSi->spfS,-,L2,0.041,0.041
N2318,sOnandi->sunanda,-,L2,0.051000000000000004,0.061
N2319,sOnandi->sunandA,-,L2,0.051000000000000004,0.058
N2316,vfzwi->vfzwa,-,L2,0.05,0.056
N2317,sOnandi->sOnanda,-,L2,0.051000000000000004,0.058
N2314,aSIti->aSIta,-,L2,0.05,0.056
N2315,vfzwi->vfzwi,-,L2,0.003,0.928
N2312,stuti->stut,-,L2,0.041,0.042
N2313,pradIpti->pradIpta,-,L2,0.051000000000000004,0.057
N2310,kAmandaki->kAmandakI,-,L2,0.05,0.057
N2311,stuti->stuta,-,L2,0.051000000000000004,0.057
N298,Kalli->KallI,-,L2,0.051000000000000004,0.056
N299,Kalli->Kall,-,L2,0.051000000000000004,0.056
N296,svApi->svapi,-,L2,0.051000000000000004,0.058
N297,Kalli->Kalla,-,L2,0.051000000000000004,0.056
N294,svApi->svApa,-,L2,0.051000000000000004,0.058
N295,svApi->svapa,-,L2,0.051000000000000004,0.061
N292,aSruti->aSruta,-,L2,0.051000000000000004,0.057
N293,svApi->svap,L1,L2,0.051000000000000004,0.057
N290,mAlati->malatA,-,L2,0.051000000000000004,0.056
N291,mAlati->mAlatI,-,L2,0.051000000000000004,0.056
N2147,vfzRi->vfzRI,-,L1,0.034,0.03
N270,kfti->kftA,-,L1,0.035,0.032
N271,kfti->kftI,-,L1,0.034,0.031
N272,kfti->kft,-,L1,0.034,0.031
N273,AKyAti->AKyAta,-,L2,0.05,0.057
N274,AKyAti->aKyAta,-,L2,0.05,0.061
N275,AKyAti->AKyAtA,-,L1,0.034,0.03
N276,AKyAti->aKyAti,-,L2,0.05,0.056
N277,pUti->pUta,-,L2,0.05,0.056
N278,pUti->pUtA,-,L1,0.034,0.031
N279,pUti->pUt,-,L1,0.033,0.029
N1780,BrUkuwi->BrUkuwI,-,L1,0.041,0.04
N2146,vfzRi->vfzRa,-,L2,0.05,0.056
N2268,kAkaRi->kAkaRI,-,L2,0.05,0.056
N2269,dfzwi->dfzwa,-,L2,0.05,0.057
N2262,drORi->drORI,-,L2,0.039,0.04
N2263,drORi->droRI,-,L2,0.039,0.04
N2260,drORi->droRA,-,L2,0.04,0.041
N2261,drORi->droRi,-,L2,0.04,0.041
N2266,agati->agata,-,L2,0.05,0.056
N2267,kAkaRi->kAkaRa,-,L2,0.05,0.057
N2264,drORi->druR,-,L2,0.041,0.042
N2265,avftti->avftta,-,L2,0.05,0.056
N2442,sPIti->sPIta,-,L2,0.051000000000000004,0.057
N2443,sPIti->sPItI,-,L2,0.04,0.041
N2440,sumAli->sumAlA,-,L2,0.043000000000000003,0.043000000000000003
N2441,sumAli->sumAlI,-,L2,0.043000000000000003,0.043000000000000003
N1781,niri->nirI,-,L1,0.04,0.039
N2447,Ani->anA,-,L2,0.05,0.056
N2445,Ani->Ana,-,L2,0.05,0.057
N2448,Ani->ani,-,L2,0.051000000000000004,0.056
N2449,Ani->AnI,-,L1,0.035,0.031
N2189,Dfzwi->Dfzwa,-,L2,0.05,0.056
N108,SAnti->SAnta,-,L2,0.05,0.057
N109,SAnti->Santa,-,L2,0.05,0.061
N102,kuRi->kuRa,-,L2,0.051000000000000004,0.056
N103,SAdi->SAda,-,L2,0.05,0.057
N100,dvAviMSati->dvAviMSat,-,L2,0.051000000000000004,0.057
N101,kuRi->kuR,L1,L1,0.036000000000000004,0.032
N106,SAdi->Sad,-,L2,0.05,0.057
N107,Brakuwi->BrakuwI,-,L2,0.051000000000000004,0.057
N104,SAdi->Sada,-,L2,0.05,0.061
N105,SAdi->Sadi,-,L2,0.051000000000000004,0.057
N2046,ASakti->ASakta,-,L2,0.051000000000000004,0.057
N2047,ASakti->aSakta,-,L2,0.05,0.061
N2044,atisakti->atisakta,-,L2,0.051000000000000004,0.057
N2045,nAgabudDi->nAgabudDa,-,L2,0.05,0.057
N2042,svIkfti->svIkfta,-,L2,0.051000000000000004,0.057
N2043,lOgAkzi->logAkza,-,L2,0.051000000000000004,0.061
N2040,SfNgi->SfNgAra,-,L2,0.038,0.356
N2041,pOluzi->puluza,-,L2,0.051000000000000004,0.061
N2048,ASakti->aSaktA,-,L2,0.051000000000000004,0.056
N2049,ASakti->aSakti,-,L2,0.051000000000000004,0.056
N2038,anvADi->anvADI,-,L2,0.05,0.056
N1001,BrAnti->BrAnta,-,L2,0.051000000000000004,0.058
N1655,Akfti->Akfta,-,L2,0.05,0.057
N98,aBiruci->aBiruc,-,L2,0.051000000000000004,0.057
N91,GUrRi->GUrRa,-,L2,0.051000000000000004,0.057
N90,gfDi->gfD,-,L1,0.032,0.027
N93,tfpti->tfpta,-,L2,0.05,0.056
N92,GUrRi->GUrR,-,L1,0.039,0.037
N95,vyAqi->vyaqa,-,L2,0.05,0.061
N94,vyAqi->vyAqa,-,L2,0.05,0.057
N97,prAhlAdi->prahlAdI,-,L2,0.051000000000000004,0.057
N96,prAhlAdi->prahlAda,-,L2,0.051000000000000004,0.061
N1991,vici->vic,-,L1,0.971,0.001
N1622,aBijiti->aBijit,-,L2,0.05,0.056
N1621,aBijiti->aBijita,-,L2,0.05,0.056
N1620,prAYjali->prAYjala,-,L2,0.051000000000000004,0.057
N1627,vyfdDi->vyfdDa,-,L2,0.05,0.057
N1994,sfti->sft,-,L1,0.039,0.039
N1997,dyumni->dyumna,-,L2,0.045,0.05
N1996,SOdDodani->SudDodani,-,L2,0.049,0.055
N1999,kati->kat,-,L1,0.371,0.042
N1998,sOci->sUci,-,L2,0.013000000000000001,0.759
N1629,ratni->ratnA,-,L2,0.051000000000000004,0.057
N1628,ratni->ratna,-,L2,0.049,0.055
N559,mOli->mul,-,L1,0.037,0.032
N558,mOli->mUlI,-,L1,0.035,0.03
N555,mOli->mUla,-,L2,0.05,0.061
N554,mOli->mOla,-,L2,0.051000000000000004,0.057
N557,mOli->mUlA,-,L1,0.036000000000000004,0.031
N556,mOli->mOlA,-,L1,0.036000000000000004,0.031
N551,pyAyi->pyAy,L1,L1,0.034,0.03
N550,BaYji->BaYj,-,L2,0.05,0.056
N553,mOli->mUl,L1,L1,0.035,0.03
N552,vAjasani->vAjasana,-,L2,0.051000000000000004,0.058
N1439,viMSati->viMSat,-,L2,0.051000000000000004,0.056
N1199,zawsaptati->zawsaptata,-,L2,0.051000000000000004,0.057
N1198,kuli->kulI,-,L1,0.038,0.033
N1191,sahapatni->sahapatnI,-,L2,0.051000000000000004,0.057
N1190,mfti->mft,-,L1,0.033,0.03
N1193,tuRqi->tuRqI,-,L1,0.035,0.032
N1192,tuRqi->tuRqa,-,L2,0.05,0.056
N1195,kuli->kul,-,L1,0.881,0.006
N1194,anumiti->anumita,-,L2,0.051000000000000004,0.057
N1197,kuli->kulA,-,L1,0.039,0.034
N1196,kuli->kula,-,L2,0.051000000000000004,0.056
N1759,kApAli->kapAli,-,L2,0.051000000000000004,0.056
N1758,kApAli->kapAla,-,L2,0.051000000000000004,0.061
N1757,kApAli->kApAla,-,L2,0.051000000000000004,0.057
N1756,nihiti->nihita,-,L2,0.05,0.057
N1755,prapARi->prapARa,-,L2,0.051000000000000004,0.057
N1754,aBiprIti->aBiprIta,-,L2,0.051000000000000004,0.057
N1753,kAkzaseni->kakzasena,-,L2,0.051000000000000004,0.061
N1752,pratyUzasi->pratyUzas,-,L2,0.051000000000000004,0.058
N1751,mahAkarRi->mahAkarRa,-,L2,0.051000000000000004,0.057
N1750,sAMkfti->saMkft,-,L2,0.051000000000000004,0.057
N1177,vikarRi->vikarRa,-,L2,0.051000000000000004,0.057
