Node,Mapping,Goldlabel,Predict,L1 confidence,L2confidence
N344,svApa->svap,L1,L2,0.041,0.055
N345,svApa->svapa,-,L2,0.049,0.059000000000000004
N347,svApa->svapi,-,L2,0.049,0.059000000000000004
N341,vyAna->vyan,-,L2,0.045,0.058
N342,dAlana->dalana,-,L2,0.04,0.056
N343,dAlana->dalanI,-,L2,0.04,0.056
N2918,rOhiRa->rohiRi,-,L2,0.024,0.041
N348,pArAvata->parAvata,-,L2,0.04,0.056
N3002,jyOtiza->jyotizA,-,L2,0.02,0.039
N2919,rOhiRa->rohiRI,-,L2,0.025,0.041
N1653,Opanizada->upanizad,-,L2,0.036000000000000004,0.05
N2318,SAKa->SAKA,-,L2,0.021,0.033
N2319,SAKa->SAKi,-,L2,0.021,0.033
N2316,Avezwa->Avezw,-,L2,0.021,0.032
N2317,SAKa->SAK,L1,L2,0.021,0.033
N2314,AkzapAda->akzapAda,-,L2,0.03,0.046
N2315,Avezwa->avezwi,-,L2,0.03,0.045
N2312,vESasa->veSas,-,L2,0.035,0.047
N2313,vESasa->viSas,-,L2,0.033,0.046
N2310,vESasa->veSasa,-,L2,0.035,0.047
N2311,vESasa->viSasi,-,L2,0.035,0.047
N297,CAga->Caga,-,L2,0.039,0.052000000000000005
N292,vAsana->vasana,-,L2,0.041,0.052000000000000005
N291,dArzada->dfzad,L2,L2,0.039,0.053
N2147,dvEDa->dveDA,-,L2,0.021,0.041
N270,mAhAnasa->mahAnasa,-,L2,0.04,0.052000000000000005
N271,mAhAnasa->mahAnasI,-,L2,0.04,0.052000000000000005
N272,aBra->aBr,L1,-,-,-
N273,trEkakuda->trikakuda,-,L2,0.042,0.055
N274,trEkakuda->trikakud,-,L2,0.042,0.055
N275,sPUrja->sPUrj,L1,-,-,-
N276,SOkra->Sukra,-,L2,0.039,0.052000000000000005
N277,SOkra->SukrA,-,L2,0.026000000000000002,0.041
N3211,prAjYa->prAjYA,-,L2,0.026000000000000002,0.041
N1780,nAgakarRa->nAgakarRI,-,L2,0.035,0.047
N2146,dvEDa->dviDa,-,L2,0.043000000000000003,0.054
N2268,BAra->Bara,-,L2,0.024,0.039
N2269,BAra->BAri,-,L2,0.021,0.032
N2262,hAra->harI,-,L2,0.03,0.044
N2263,AjYAna->ajYAna,-,L2,0.024,0.039
N2260,hAra->hari,-,L2,0.03,0.044
N2261,hAra->hArI,-,L2,0.023,0.034
N2266,sTApana->sTApanI,-,L2,0.026000000000000002,0.037
N2267,sTApana->sTapanI,-,L2,0.024,0.039
N2264,AjYAna->ajYAnA,-,L2,0.024,0.039
N2265,sTApana->sTApanA,-,L2,0.026000000000000002,0.037
N2442,SOna->Sun,L1,L2,0.02,0.036000000000000004
N2443,SOna->Suna,-,L2,0.024,0.04
N2440,lAvaRa->lavaRA,-,L2,0.024,0.04
N2441,lAvaRa->lAvaRI,-,L2,0.025,0.037
N1781,nAgakarRa->nagakarRI,-,L2,0.034,0.048
N2447,SOna->SunI,-,L2,0.02,0.036000000000000004
N2444,SOna->SUna,-,L2,0.036000000000000004,0.049
N2445,SOna->SUnA,-,L2,0.021,0.037
N2448,cEtta->citta,-,L2,0.024,0.04
N2449,cEtta->citti,-,L2,0.019,0.035
N2189,nEpuRa->nipuRA,-,L2,0.025,0.042
N108,kEwa->kiwi,-,L2,0.021,0.035
N102,Ayoga->ayoga,-,L2,0.039,0.053
N100,sOSruta->suSruti,-,L2,0.031,0.044
N101,sOSruta->suSrut,-,L2,0.031,0.044
N106,kEwa->kiwa,-,L2,0.038,0.051000000000000004
N105,kEwa->kiw,L1,L2,0.021,0.035
N2046,prAvfza->prAvfz,-,L2,0.028,0.041
N2047,prAvfza->pravfz,-,L2,0.045,0.059000000000000004
N2044,ArADana->ArADanA,-,L2,0.04,0.055
N2045,prAvfza->prAvfzA,-,L2,0.028,0.041
N2042,yAjYa->yajYA,-,L2,0.04,0.055
N2043,bArhata->bArhat,-,L2,0.04,0.055
N2040,DAna->DanI,-,L2,0.039,0.055
N2041,yAjYa->yajYa,-,L2,0.04,0.055
N3198,vAruRa->varuRA,-,L2,0.036000000000000004,0.05
N2048,Una->Una,L1,L1,0.084,0.051000000000000004
N2049,mArica->marica,-,L2,0.04,0.056
N3150,SEkza->SikzA,-,L2,0.022,0.039
N3155,vEtaraRa->vEtaraRI,-,L2,0.04,0.053
