Node,Mapping,Goldlabel,Predict,L1 confidence,L2confidence
N344,svApa->svap,L1,L2,0.02,0.033
N2317,SAKa->SAK,L1,L2,0.021,0.032
N291,dArzada->dfzad,L2,L2,0.02,0.034
N272,aBra->aBr,L1,L1,0.364,0.061
N275,sPUrja->sPUrj,L1,L1,0.363,0.061
N2442,SOna->Sun,L1,L2,0.02,0.036000000000000004
N105,kEwa->kiw,L1,L2,0.02,0.034
N2048,Una->Una,L1,L1,0.294,0.052000000000000005
N1001,SARa->SaR,-,L1,0.218,0.026000000000000002
N1375,mana->man,-,L1,0.801,0.012
N1374,Kana->Kan,-,L1,0.802,0.012
N91,vAma->vam,L1,L2,0.02,0.034
N3209,kampa->kamp,-,L1,0.753,0.012
N3013,SApa->Sap,L1,L2,0.02,0.037
N2866,nAga->nAga,-,L2,0.014,0.317
N1757,dOhitrAyaRa->dOhitra,-,L2,0.016,0.299
N1177,BrASa->BrAS,L1,L2,0.023,0.031
N1285,vepa->vep,L1,L1,0.328,0.056
N1284,nAkzatra->nakzatra,L2,L2,0.02,0.034
N1287,nESa->niS,L1,L2,0.02,0.034
N458,busa->bus,L1,L1,0.353,0.059000000000000004
N404,sAha->sah,L1,L2,0.02,0.034
N1378,svAna->svan,-,L1,0.2,0.028
N1346,siva->siv,L1,L1,0.325,0.056
N391,gAha->gAh,L1,L2,0.028,0.03
N390,prAtijYa->pratijYA,-,L2,0.015,0.281
N3203,kOmAra->kumAra,-,L1,0.304,0.026000000000000002
N248,prAtihAra->pratihAra,-,L2,0.014,0.299
N2457,dOrBrAtra->durBrAtf,-,L2,0.012,0.39
N171,mOca->muc,L1,L2,0.02,0.033
N2051,SAkuna->Sakuna,L2,L2,0.02,0.036000000000000004
N1503,OttAnapAda->uttAnapAda,-,L2,0.016,0.20700000000000002
N1507,nEja->nij,L1,L2,0.02,0.035
N1367,vARa->vaR,-,L1,0.201,0.028
N1505,vama->vam,L1,L1,0.32,0.055
N3083,SvaBra->SvaBr,L1,L1,0.266,0.049
N1762,sana->san,L1,L1,0.312,0.054
N1141,Orva->urv,L1,L2,0.019,0.034
N1147,paRa->paRa,L1,L1,0.33,0.056
N1148,urva->urv,L1,L1,0.335,0.057
N1149,krama->kram,L1,L1,0.334,0.057
N2966,SaSa->SaS,-,L1,0.761,0.012
N1785,ramBa->ramB,L1,L1,0.311,0.054
N360,SAsa->Sas,L1,L2,0.02,0.033
N2760,SaRa->SaR,-,L1,0.768,0.012
N3202,DArmiRa->Darmin,-,L2,0.014,0.281
N385,plAkza->plakza,-,L2,0.015,0.249
N388,dOhitra->duhitf,-,L2,0.012,0.427
N2792,graha->grah,L1,L1,0.278,0.05
N2191,kAsa->kAs,L1,L2,0.021,0.032
N258,dArBa->darBa,-,L2,0.015,0.263
N259,caRa->caR,L1,L1,0.365,0.061
N255,OrRa->UrRA,-,L2,0.015,0.264
N2201,nivAsa->nivAsa,L1,L1,0.298,0.052000000000000005
N2205,KAna->Kan,L1,L2,0.02,0.036000000000000004
N2519,dEvata->devatA,-,L2,0.015,0.257
N1840,gOra->gUr,L1,L2,0.02,0.036000000000000004
N2732,dvEpakza->dvipakz,-,L2,0.015,0.241
