Node,Mapping,Goldlabel,Predict,L1 confidence,L2confidence
N344,Danya->Dan,-,L2,0.048,0.926
N345,antarya->antara,L2,L2,0.179,0.728
N346,sOvIrya->suvIra,L2,L2,0.14,0.782
N347,vEcakzaRya->vicakzaRa,L2,L2,0.141,0.78
N340,tatratya->tatra,-,L2,0.041,0.935
N341,SAkya->Sak,-,L1,0.746,0.229
N342,mOkya->mUka,L2,L2,0.137,0.779
N343,pAYcajanya->paYcajana,-,L2,0.051,0.922
N348,dEtya->diti,-,L2,0.001,0.985
N349,grAhya->grah,L1,L2,0.132,0.774
N298,Anugatya->anugata,-,L2,0.039,0.938
N299,mAndya->manda,-,L2,0.039,0.938
N296,vAhya->vah,L1,L2,0.14,0.781
N297,BarmaRya->Barman,L2,L2,0.182,0.72
N294,tfRya->tfR,-,L2,0.0,0.987
N295,vAhya->vAh,-,L1,0.978,0.009
N292,BaraRya->BaraRa,L2,L2,0.2,0.684
N293,vApya->vap,-,L1,0.85,0.131
N290,payasya->payas,-,L2,0.017,0.966
N291,vastya->vasti,-,L2,0.017,0.965
N199,sAmaYjasya->samaYjasa,-,L2,0.054,0.918
N198,prAkAmya->prakAma,L2,L2,0.139,0.78
N195,pArihAsya->parihAsa,L2,L2,0.137,0.781
N194,klEbya->klIba,-,L2,0.043,0.933
N197,svarya->svara,L1,L2,0.173,0.735
N196,sAtatya->satata,L2,L2,0.136,0.78
N191,pAruzya->paruza,-,L2,0.031,0.948
N190,sAmrAjya->samrAja,-,L2,0.031,0.947
N193,klEbya->klIb,L1,L2,0.127,0.767
N192,kOpya->kup,L1,L2,0.127,0.767
N270,homya->homa,L2,L2,0.186,0.713
N271,OzRya->uzRa,L2,L2,0.136,0.776
N272,putrya->putra,-,L2,0.051,0.921
N273,vElakzya->vilakza,L2,L2,0.135,0.773
N274,dEvatya->devatA,L2,L2,0.138,0.781
N275,dOrganDya->durganDa,-,L2,0.053,0.919
N276,diSya->diS,-,L2,0.0,0.986
N277,sAmarTya->samarTa,-,L2,0.017,0.965
N278,Satya->Sata,-,L2,0.042,0.934
N279,paradArya->paradAra,L2,L2,0.179,0.729
N524,sAmya->sAma,-,L1,0.738,0.237
N525,sAmya->sam,-,L1,0.735,0.24
