Node(Unlabel),GoldLabel,Predicted,L1Score,L2Score,#1st nb L1,#1st nb L2,#2nd nb L1,#2nd nb L2,#3rd nb L1,#3rd nb L2
N304,L2,L2,83897.375,439882.75,98,474,197968,960626,0,0
N685,L2,L2,83895.0,439861.5,98,474,197968,960626,0,0
N1846,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N938,L2,L1,49183.75,191990.625,52,150,125148,486044,0,0
N932,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N930,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N2381,L2,L2,83897.375,439882.75,98,474,197968,960626,0,0
N462,L1,L2,53567.0,345113.625,55,365,135913,780400,0,0
N683,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N2016,L2,L2,53568.75,345134.875,56,364,135912,780401,0,0
N785,L2,L2,49186.0,192006.625,52,150,125148,486044,0,0
N2543,L2,L2,53567.5,345119.125,56,364,135912,780401,0,0
N160,L2,L2,53567.25,345119.5,56,364,135912,780401,0,0
N162,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N764,L2,L2,49186.0,192006.625,52,150,125148,486044,0,0
N763,L2,L2,53567.5,345119.125,56,364,135912,780401,0,0
N762,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N807,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N804,L2,L2,49186.0,192006.625,52,150,125148,486044,0,0
N61,L2,L2,53568.75,345134.875,56,364,135912,780401,0,0
N1529,L2,L2,49186.0,192006.625,52,150,125148,486044,0,0
N1449,L2,L2,53567.5,345119.125,56,364,135912,780401,0,0
N1833,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N2448,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N2333,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N98,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N92,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N113,L2,L2,83897.375,439882.75,98,474,197968,960626,0,0
N1627,L2,L2,49186.0,192006.625,52,150,125148,486044,0,0
N1782,L2,L1,49183.75,191990.625,52,150,125148,486044,0,0
N289,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N1785,L2,L2,49186.0,192006.625,52,150,125148,486044,0,0
N1232,L2,L2,49186.0,192006.625,52,150,125148,486044,0,0
N1237,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N1011,L2,L2,53569.0,345140.625,56,364,135912,780401,0,0
N1018,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N1156,L2,L2,49186.0,192006.625,52,150,125148,486044,0,0
N1154,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
