Node(Unlabel),GoldLabel,Predicted,L1Score,L2Score,#1st nb L1,#1st nb L2,#2nd nb L1,#2nd nb L2,#3rd nb L1,#3rd nb L2
N2703,L1,L2,0,0,0,0,0,0,0,0
N1841,L1,L2,0,0,0,0,0,0,0,0
N1688,L1,L2,0,0,0,0,0,0,0,0
N1845,L1,L2,0,0,0,0,0,0,0,0
N2421,L1,L2,0,0,0,0,0,0,0,0
N2154,L1,L2,0,0,0,0,0,0,0,0
N2382,L1,L2,0,0,0,0,0,0,0,0
N1868,L1,L2,0,0,0,0,0,0,0,0
N2014,L1,L2,0,0,0,0,0,0,0,0
N2787,L1,L2,0,0,0,0,0,0,0,0
N2686,L1,L2,0,0,0,0,0,0,0,0
N2823,L1,L2,0,0,0,0,0,0,0,0
N1936,L1,L2,0,0,0,0,0,0,0,0
N1635,L1,L2,0,0,0,0,0,0,0,0
N2636,L1,L2,0,0,0,0,0,0,0,0
N1206,L1,L2,0,0,0,0,0,0,0,0
N2339,L1,L2,0,0,0,0,0,0,0,0
N1149,L1,L2,0,0,0,0,0,0,0,0
N2329,L1,L2,0,0,0,0,0,0,0,0
N2632,L1,L2,0,0,0,0,0,0,0,0
N1944,L1,L2,0,0,0,0,0,0,0,0
N1949,L1,L2,0,0,0,0,0,0,0,0
N1789,L1,L2,0,0,0,0,0,0,0,0
N1625,L1,L2,0,0,0,0,0,0,0,0
N2602,L1,L2,0,0,0,0,0,0,0,0
N1703,L1,L2,0,0,0,0,0,0,0,0
N2440,L1,L2,0,0,0,0,0,0,0,0
N2442,L1,L2,0,0,0,0,0,0,0,0
N2523,L1,L2,0,0,0,0,0,0,0,0
N1159,L1,L2,0,0,0,0,0,0,0,0
N1152,L1,L2,0,0,0,0,0,0,0,0
N1957,L1,L2,0,0,0,0,0,0,0,0
N1954,L1,L2,0,0,0,0,0,0,0,0
N1798,L1,L2,0,0,0,0,0,0,0,0
N2844,L1,L2,0,0,0,0,0,0,0,0
N2515,L1,L2,0,0,0,0,0,0,0,0
N2049,L1,L2,0,0,0,0,0,0,0,0
N2200,L1,L2,0,0,0,0,0,0,0,0
N1657,L1,L2,0,0,0,0,0,0,0,0
N1880,L1,L2,0,0,0,0,0,0,0,0
N2451,L1,L2,0,0,0,0,0,0,0,0
N2126,L1,L2,0,0,0,0,0,0,0,0
N2588,L1,L2,0,0,0,0,0,0,0,0
N1807,L1,L2,0,0,0,0,0,0,0,0
N1962,L1,L2,0,0,0,0,0,0,0,0
N2586,L1,L2,0,0,0,0,0,0,0,0
N1960,L1,L2,0,0,0,0,0,0,0,0
N2504,L1,L2,0,0,0,0,0,0,0,0
N2215,L1,L2,0,0,0,0,0,0,0,0
N2740,L1,L2,0,0,0,0,0,0,0,0
N2217,L1,L2,0,0,0,0,0,0,0,0
N2302,L1,L2,0,0,0,0,0,0,0,0
N2110,L1,L2,0,0,0,0,0,0,0,0
N2115,L1,L2,0,0,0,0,0,0,0,0
N2868,L1,L2,0,0,0,0,0,0,0,0
N1196,L1,L2,0,0,0,0,0,0,0,0
N1975,L1,L2,0,0,0,0,0,0,0,0
N1755,L1,L2,0,0,0,0,0,0,0,0
N2346,L1,L2,0,0,0,0,0,0,0,0
N2770,L1,L2,0,0,0,0,0,0,0,0
N2775,L1,L2,0,0,0,0,0,0,0,0
N2060,L1,L2,0,0,0,0,0,0,0,0
N2576,L1,L2,0,0,0,0,0,0,0,0
N1674,L1,L2,0,0,0,0,0,0,0,0
N2011,L1,L2,0,0,0,0,0,0,0,0
N2579,L1,L2,0,0,0,0,0,0,0,0
N2084,L1,L2,0,0,0,0,0,0,0,0
N2086,L1,L2,0,0,0,0,0,0,0,0
N2080,L1,L2,0,0,0,0,0,0,0,0
N2762,L1,L2,0,0,0,0,0,0,0,0
N1171,L1,L2,0,0,0,0,0,0,0,0
N2565,L1,L2,0,0,0,0,0,0,0,0
N2402,L1,L2,0,0,0,0,0,0,0,0
N2273,L1,L2,0,0,0,0,0,0,0,0
N1663,L1,L2,0,0,0,0,0,0,0,0
N2098,L1,L2,0,0,0,0,0,0,0,0
N2658,L1,L2,0,0,0,0,0,0,0,0
N2490,L1,L2,0,0,0,0,0,0,0,0
N2715,L1,L2,0,0,0,0,0,0,0,0
N1697,L1,L2,0,0,0,0,0,0,0,0
N2655,L1,L2,0,0,0,0,0,0,0,0
N2161,L1,L2,0,0,0,0,0,0,0,0
N2398,L1,L2,0,0,0,0,0,0,0,0
N2164,L1,L2,0,0,0,0,0,0,0,0
N1757,L1,L2,0,0,0,0,0,0,0,0
N2390,L1,L2,0,0,0,0,0,0,0,0
N2554,L1,L2,0,0,0,0,0,0,0,0
N2791,L1,L2,0,0,0,0,0,0,0,0
N2043,L1,L2,0,0,0,0,0,0,0,0
N2007,L1,L2,0,0,0,0,0,0,0,0
N1612,L1,L2,0,0,0,0,0,0,0,0
N1615,L1,L2,0,0,0,0,0,0,0,0
