Node(Unlabel),GoldLabel,Predicted,L1Score,L2Score,#1st nb L1,#1st nb L2,#2nd nb L1,#2nd nb L2,#3rd nb L1,#3rd nb L2
N304,L1,-,0,20445.0,0,138,0,21087,0,0
N1284,L2,L2,0,242850.0,0,140,0,257037,0,0
N1285,L1,-,0,23462.0,0,139,0,26347,0,0
N3393,L1,L2,0,101505.75,0,60,0,100916,0,0
N1287,L1,L2,0,242932.75,0,140,0,257113,0,0
N572,L1,-,0,21391.5,0,139,0,22787,0,0
N1320,L1,-,0,23709.75,0,139,0,26776,0,0
N309,L1,-,0,20540.75,0,138,0,21261,0,0
N3416,L1,L2,0,99567.0,0,60,0,98896,0,0
N1840,L1,L2,0,236729.625,0,139,0,246727,0,0
N2834,L1,L1,0,28337.25,0,142,0,34321,0,0
N675,L2,L2,0,196565.625,0,111,0,214383,0,0
N300,L1,-,0,90300.375,0,102,0,105862,0,0
N1510,L1,L2,0,251520.125,0,151,0,265347,0,0
N3099,L1,L1,0,29104.5,0,143,0,35419,0,0
N1517,L1,-,0,24341.0,0,139,0,27880,0,0
N3097,L1,L2,0,129162.25,0,73,0,129352,0,0
N3096,L1,L2,0,129315.25,0,73,0,129500,0,0
N1362,L1,-,0,23868.75,0,139,0,27057,0,0
N788,L2,-,0,207408.375,0,118,0,223935,0,0
N839,L1,-,0,22233.25,0,139,0,24236,0,0
N28,L1,L1,0,19541.75,0,138,0,19476,0,0
N3309,L1,L1,0,29357.25,0,143,0,35776,0,0
N3013,L1,L2,0,137277.75,0,79,0,137753,0,0
N467,L1,L1,0,21206.0,0,139,0,22453,0,0
N468,L1,L1,0,21299.25,0,139,0,22621,0,0
N27,L1,L1,0,19441.0,0,138,0,19292,0,0
N784,L1,-,0,21953.25,0,139,0,23762,0,0
N1135,L1,L1,0,22677.75,0,139,0,25008,0,0
N272,L1,-,0,20154.75,0,138,0,20559,0,0
N275,L1,-,0,20252.0,0,138,0,20736,0,0
N1132,L1,L2,0,233656.125,0,133,0,247869,0,0
N432,L1,L1,0,21018.5,0,139,0,22115,0,0
N766,L1,L2,0,206099.375,0,118,0,223356,0,0
N2821,L1,L2,0,155252.0,0,88,0,156837,0,0
N763,L1,L1,0,21864.0,0,139,0,23602,0,0
N2826,L1,L2,0,154860.0,0,88,0,156411,0,0
N1932,L1,L2,0,113495.0,0,79,0,132838,0,0
N1933,L1,L2,0,231703.125,0,135,0,240589,0,0
N603,L1,L1,0,21489.5,0,139,0,22952,0,0
N714,L1,L2,0,201285.875,0,116,0,219373,0,0
N1632,L1,L1,0,24657.0,0,139,0,28412,0,0
N2430,L1,L1,0,27104.75,0,140,0,32420,0,0
N2431,L1,L1,0,27161.25,0,140,0,32517,0,0
N1839,L1,L2,0,236806.125,0,139,0,246824,0,0
N3088,L1,L1,0,29061.5,0,143,0,35356,0,0
N1631,L1,L1,0,24584.5,0,139,0,28281,0,0
N3089,L1,L2,0,130351.75,0,73,0,130543,0,0
N1835,L2,L2,0,237011.625,0,139,0,247106,0,0
N1525,L1,-,0,24417.25,0,139,0,28014,0,0
N1177,L1,L2,0,106014.75,0,65,0,127544,0,0
N809,L1,-,0,22042.0,0,139,0,23921,0,0
N3006,L1,-,0,28684.5,0,142,0,34828,0,0
N2229,L1,L2,0,204297.25,0,121,0,209240,0,0
N2331,L1,L2,0,196699.0,0,117,0,200988,0,0
N2330,L1,L2,0,109492.875,0,71,0,125355,0,0
N2322,L1,L1,0,26587.75,0,139,0,31610,0,0
N2531,L1,L2,0,181151.75,0,107,0,184371,0,0
N1204,L1,L2,0,238162.875,0,136,0,252359,0,0
N1663,L1,-,0,24731.75,0,139,0,28542,0,0
N1200,L1,L2,0,106567.0,0,67,0,128197,0,0
N1149,L1,-,0,22941.25,0,139,0,25462,0,0
N360,L1,L2,0,156458.5,0,91,0,170782,0,0
N1141,L1,L2,0,234182.625,0,133,0,248384,0,0
N78,L1,L1,0,19651.25,0,138,0,19659,0,0
N91,L1,L2,0,122422.75,0,74,0,132039,0,0
N2992,L1,-,0,28638.75,0,142,0,34759,0,0
N1147,L1,L1,0,22763.0,0,139,0,25160,0,0
N3083,L1,-,0,29012.75,0,143,0,35292,0,0
N899,L1,L1,0,22404.5,0,139,0,24547,0,0
N753,L1,-,0,95346.0,0,60,0,114037,0,0
N113,L2,L2,0,125864.5,0,75,0,136372,0,0
N204,L2,L2,0,139201.5,0,82,0,151983,0,0
